0-Control_ 1-High Carb	ENSMUSG00000000326	ENSMUSG00000000340	ENSMUSG00000000402	ENSMUSG00000001023	ENSMUSG00000001674	ENSMUSG00000001833	ENSMUSG00000002129	ENSMUSG00000003051	ENSMUSG00000003344	ENSMUSG00000003809	ENSMUSG00000003863	ENSMUSG00000005469	ENSMUSG00000005503	ENSMUSG00000005683	ENSMUSG00000006456	ENSMUSG00000006546	ENSMUSG00000006784	ENSMUSG00000007777	ENSMUSG00000008035	ENSMUSG00000008461	ENSMUSG00000009092	ENSMUSG00000010122	ENSMUSG00000010453	ENSMUSG00000010517	ENSMUSG00000010755	ENSMUSG00000010803	ENSMUSG00000011154	ENSMUSG00000011263	ENSMUSG00000011751	ENSMUSG00000013611	ENSMUSG00000014245	ENSMUSG00000014980	ENSMUSG00000016028	ENSMUSG00000017765	ENSMUSG00000017922	ENSMUSG00000018442	ENSMUSG00000018752	ENSMUSG00000018900	ENSMUSG00000019872	ENSMUSG00000019913	ENSMUSG00000020109	ENSMUSG00000020182	ENSMUSG00000020189	ENSMUSG00000020265	ENSMUSG00000020524	ENSMUSG00000020532	ENSMUSG00000020692	ENSMUSG00000020904	ENSMUSG00000020963	ENSMUSG00000021033	ENSMUSG00000021177	ENSMUSG00000021271	ENSMUSG00000021281	ENSMUSG00000021621	ENSMUSG00000021700	ENSMUSG00000021748	ENSMUSG00000021749	ENSMUSG00000021775	ENSMUSG00000021789	ENSMUSG00000021814	ENSMUSG00000022025	ENSMUSG00000022091	ENSMUSG00000022199	ENSMUSG00000022212	ENSMUSG00000022360	ENSMUSG00000022364	ENSMUSG00000022546	ENSMUSG00000022679	ENSMUSG00000022814	ENSMUSG00000022844	ENSMUSG00000022865	ENSMUSG00000022902	ENSMUSG00000023072	ENSMUSG00000023165	ENSMUSG00000023210	ENSMUSG00000023828	ENSMUSG00000023977	ENSMUSG00000024007	ENSMUSG00000024027	ENSMUSG00000024069	ENSMUSG00000024085	ENSMUSG00000024222	ENSMUSG00000024233	ENSMUSG00000024236	ENSMUSG00000024401	ENSMUSG00000024471	ENSMUSG00000024481	ENSMUSG00000024677	ENSMUSG00000024732	ENSMUSG00000024734	ENSMUSG00000024812	ENSMUSG00000024816	ENSMUSG00000024899	ENSMUSG00000024936	ENSMUSG00000025064	ENSMUSG00000025077	ENSMUSG00000025153	ENSMUSG00000025223	ENSMUSG00000025405	ENSMUSG00000025473
0	155.478439	38.30750335	0.017154428	0	6.799656699	16.15162883	4.308578676	0.04428217	7.189304021	266.3692093	0	20.57310434	0	26.83408707	2.842901454	0	0.085503361	19.70866856	12.80076657	0.017978904	1.492948847	45.68676171	13.49886837	7.256829873	5.816192331	0	0	3.350888771	0	0	2.197660566	1.93752809	1.322303679	5.701358329	0	18.77081573	0.12452503	13.93688034	23.27557589	0	15.27550971	16.34298452	3.742236564	15.85575307	0.008363789	5.54403417	3.329979477	0	0	407.9423139	0.740758208	2.776908158	3.769051485	2.210128173	0	96.863073	0.037078796	19.43757465	2.389165839	33.24429803	3.690129364	20.70955083	0.424628179	0	0.326486528	1.107678036	303.5616205	12.10319593	5.871423051	28.29827852	8.251357684	0	1.85542294	0	0	1.271926608	15.93291077	5.33725218	0	4.422760807	53.61113343	70.40796225	0	2.804136098	0	0	0.014409933	0.335499948	2.724920205	0	2.697658053	3.079326482	71.05223472	0.075669777	0.024902777	3.341670818	22.59040812	22.31358307	18.92229397	0.113783091
0	300.2664335	35.59011185	0	0	10.36166379	24.16541991	7.116768121	0.691269682	5.083677551	276.483877	0	23.59297361	0	42.70887999	3.981522443	0	0.066737787	24.3533069	42.08228593	0.024947631	4.865908461	54.09710469	8.261287918	6.388949843	8.210418694	0	0	3.348377871	0.00735851	0	2.250106486	4.418764034	3.133783695	3.737261904	0	28.65408731	0.086395823	10.01628648	15.82043656	0	9.958736767	63.58345121	7.892618416	23.66572123	0	7.811338524	7.219841633	0.087810216	0	378.3804957	1.403138246	3.499030833	5.147204993	3.301969562	0	101.8135504	0.025725375	4.989900722	1.950792861	27.34150983	2.200892896	5.842317405	0.378782036	0	0.72485533	1.528385458	233.1525151	8.99108101	14.82572409	32.14684403	16.37185026	0	1.799938465	0	0	1.682201447	9.762456885	12.276009	0	7.426717864	25.49368836	30.99791659	0	4.159663317	0.117812486	0.014568784	0	0.2477883	5.121692035	0	4.065741138	3.122497349	37.31746954	0.026249954	0.017277619	3.042979811	63.02884844	14.19112567	37.38794622	0.149114622
0	246.7921782	27.36321936	0.032492921	0	4.727676829	8.342098861	4.053742851	0.335506857	8.057299462	273.8201691	0	19.06270257	0	29.32837702	3.669217713	0	0.070855531	15.85829393	10.47204097	0.35757326	2.071569637	43.12153272	17.18402375	5.968167074	13.21185159	0	0	5.588605251	0.005022342	0.065178678	1.798439831	1.707799975	1.315925072	6.408431599	0	26.76649173	0.019655673	13.40007211	14.0236862	0	11.34750173	10.44925966	3.796001847	16.30269918	0	5.356806244	3.00589588	0	0.040761243	392.8409366	0.868586432	3.078078391	4.269915714	3.236032781	0	107.2375795	0.140465001	20.99955534	5.310440803	45.85655251	5.824690535	21.96521457	0.82345617	0	0.525650041	1.308365343	243.0867314	6.413927983	6.796355139	38.14755185	6.565814051	0	2.690252829	0	0	1.55594779	17.5652788	5.544914696	0	5.139718563	25.62556001	30.47118413	0	3.322422742	0.241228714	1.431865504	0	0.461238757	2.498579815	0	2.07643283	3.238211029	43.02402413	0.035832324	0.259431668	3.767618279	14.67707985	32.29221523	31.73001494	0.287361761
0	233.4996955	37.81840747	0.049764135	0	3.516019069	9.43830293	3.829006298	0.192690532	7.500383784	290.9822654	0	17.87903333	0	30.04017529	3.132624879	0	0.03100512	14.28089344	8.429548978	0.0695412	0.637894762	73.19007552	21.89317433	4.808661893	12.75180992	0	0	4.361095769	0	0	1.609299795	1.836457115	1.420717269	5.524823283	0	25.09117791	0.040137874	18.50120679	13.26637572	0	11.2938759	11.3579939	4.158032846	14.07019425	0	4.413267429	3.521912691	0	0	414.78569	0.682191236	3.431788195	2.871860213	2.805837997	0	88.31872843	0.035854575	20.2675388	5.50067478	42.26721151	7.011383479	33.58668119	0.469266683	0	0.812945557	0.962792032	289.1023291	8.53810145	6.269785858	28.72843884	5.780809299	0	2.508652622	0	0	1.165872812	19.03131138	7.194168039	0	5.227121449	27.27430519	48.95814014	0	2.694534595	0.13683366	2.253871521	0	0.251166069	2.060053589	0.045699515	2.354570198	2.42992762	50.17239724	0	0.016053713	4.587348454	12.92706851	46.63260132	29.20305922	0.146701795
0	202.2725966	70.13037294	0	0.114181441	6.146076506	11.94848155	3.530875414	0	6.017354415	308.9218152	0	15.98913647	0	28.81732859	2.735569909	0	0.136070603	17.7649426	8.323725432	0	1.952280438	65.20987362	17.42426426	4.604006293	9.759961698	0	0	3.063185629	0	0	2.195760589	1.383965957	1.122305404	5.637827856	0	24.53288494	0	18.56306089	13.95307695	0	9.666109885	12.63226969	4.596441615	13.88420278	0	4.743780988	3.09128802	0	0	366.3574981	0.898169452	2.734745143	1.708317605	2.488661448	0	93.81800789	0.275368033	24.44251728	3.724539407	43.73495793	4.052365489	26.02470903	0.471956594	0	0.73606143	1.016726454	275.8584454	10.21204953	5.028571654	22.10193994	7.149243745	0	2.508515745	0	0	1.574340628	20.39783969	5.76544617	0	5.145633202	38.67427172	65.15705649	0	3.068371723	0.120102993	1.514907055	0.122304321	0.287052037	1.721441485	0	1.500698796	2.578614452	48.87374043	0	0	4.368321465	15.3534676	30.64236844	17.62227349	0.24143353
1	332.0512016	31.06064152	0.015409402	0	7.362773254	18.078191	7.240915508	0.377887078	8.192953877	199.2595085	0	29.9101261	0	49.9768531	5.82008012	0	0.144010447	28.21399286	65.50913193	0.226100122	8.015288025	32.75332072	12.66184237	6.201559984	9.776619821	0	0	5.508906665	0.004763579	0	2.069934884	2.188466446	5.44876449	6.263101514	0	34.75271922	0.167786668	9.71595497	16.0846181	0	15.35029398	58.84589412	6.117222274	27.63014729	0	12.78962535	5.468358543	0	0	370.273433	1.119570188	3.478776918	10.06051278	4.031506715	0	126.1514704	0	3.431296733	1.44535222	28.89288311	2.616910001	9.022611957	1.071645306	0	0.821169546	1.341573037	250.9312457	3.561053402	10.47655332	29.52182296	15.39805037	0	2.227157667	0	0	0.535565843	12.13835333	11.44826143	0	5.892112358	26.5820227	16.999454	0	5.074660774	0.10168889	0.358385436	0	0.243041429	3.916366341	0	4.973541357	5.337893433	41.12827428	0.101958457	0.014913036	3.403759777	199.5644806	16.84836468	90.15845067	0.249843144
1	303.8146915	34.4964893	0.0244613	0	7.733324158	18.76194283	5.169130149	0.520938125	5.694099208	199.1015738	0.013517955	30.90824501	0	54.68287342	5.816768896	0	0.106682832	30.36513927	52.84598981	0.243551117	35.76989118	16.98424973	11.21302226	8.068068252	13.33336736	0	0	4.627931306	0.007561833	0	2.17536796	2.77648909	3.815962839	4.530957963	0	33.60912109	0.044391514	9.904222294	17.89344737	0	13.19635357	65.37310371	5.377846957	32.44293881	0.011926317	7.477891226	3.820956621	0	0.007671463	339.9331509	1.207179119	3.418146578	8.554926203	3.924905361	0	127.8326137	0.15861716	4.886636521	1.147195556	32.0343538	1.938604987	8.659468176	1.052411722	0	1.152242166	1.614984004	185.5341932	2.933518859	8.8849284	38.24827354	17.77011505	0	2.528666348	0	0	0.264497853	11.286229	9.755453114	0.067037185	6.108587219	22.21020282	18.90177549	0	3.914896996	0.100889805	0.044914004	0.010273898	0.223770103	3.991561663	0.016847518	5.136159087	4.523124691	33.98149026	0	0.035510034	2.708700894	62.43844483	13.99241798	81.18205377	0.171262437
1	399.9600817	26.22460609	0.014226118	0	7.71733528	15.26244023	6.168861284	0.642653861	6.635821321	190.5619734	0.007861726	25.28146879	0	51.5664796	5.866611125	0	0.186132697	28.0311946	48.6264766	0.193828105	16.87268746	33.54792081	13.20745138	5.845877547	12.23746418	0.032822034	0	6.239377719	0	0	2.247177022	2.768127284	4.602166018	5.772121291	0	44.50739945	0.068845502	7.424639964	13.69212745	0	12.65540659	74.66645179	6.067009822	26.29826172	0.020808199	12.56367984	5.350488585	0.034986288	0	413.5074801	1.316375725	4.233998344	10.99917086	3.553261028	0.004525579	134.1308561	0.061498679	4.190746597	1.401756165	32.2529565	3.060213771	10.20429607	1.140272376	0	0.893489348	1.568835107	242.6152967	2.229093199	10.34557298	31.78668773	11.53217681	0	3.295262514	0	0	0.406539471	11.15595533	9.254714974	0	5.563690064	19.78120286	10.6588067	0	4.903903297	0.093880229	3.848483793	0.023900232	0.25130375	4.098398442	0	4.139165203	5.893100032	32.30840314	0.125505462	0.068839341	4.107370742	108.1758371	17.34805395	98.34042366	0.241142205
1	213.1612366	38.59126082	0	0	3.924128768	10.24579584	4.23174462	0.832021543	5.66435464	205.2502183	0.009895572	22.08735583	0	42.27248539	6.459551519	0	0.145033965	18.72709177	28.78322247	0.018767066	1.123495491	56.55641138	18.71136494	5.895244655	8.490612284	0	0	2.881823318	0.005535501	0.017959581	1.692661634	2.903539935	2.239106342	5.913389021	0	22.68568492	0.043327992	6.799537404	10.54305275	0	12.08110036	39.4934221	4.075539282	23.91495128	0	6.550540681	2.335410379	0	0	448.6830249	0.945060944	4.133490472	6.648434766	2.901461985	0	111.1192318	0.425746879	15.98046095	0.407167749	25.32813417	4.899343728	24.49198778	0.717631678	0.012104758	1.039437241	1.16922802	301.8645621	5.517481087	9.714380883	30.98496649	14.92089791	0	2.485224624	0	0	0.663842762	11.99713188	6.38158783	0	5.709475843	20.93009771	10.19083814	0	5.180536312	0.147709065	0.263027785	0	0.225940417	1.887631133	0	3.501441613	3.440073284	59.07521446	0.118480501	0.008664823	3.654266526	36.32311196	14.55735587	43.83818719	0.250739056
1	342.0005549	34.92941079	0.04012882	0	8.585837732	18.94861873	6.197325343	0.794173934	6.729476724	213.6450734	0	25.97953471	0	49.89285652	4.485093451	0	0.183347408	30.61427094	45.9541542	0.042057492	23.47223602	32.33090511	13.74485385	6.265700335	12.25854502	0.0308613	0	6.146011716	0.016540274	0	2.578778155	1.944593725	4.589100405	5.82373343	0	32.41093395	0.064732784	9.012829923	17.57750099	0	12.07611706	63.12625334	7.095320039	27.61530118	0.065217171	11.15157964	5.375716472	0	0	393.2367942	1.173558616	3.913096817	8.416905675	4.028225048	0.008510457	146.2853039	0.404773946	6.329458657	2.040392561	33.48570719	3.760814409	9.756068091	1.02485345	0.009042361	0.935581236	1.358658991	221.3801546	3.957679452	9.831361305	34.32896276	14.66584507	0	2.13815824	0	0	0.413246995	13.16155343	9.483759186	0.024438813	5.764452959	26.30316831	17.69096409	0	4.363936877	0.110339973	0.212857747	0.011236236	0.30380307	3.979121664	0	4.78215031	5.268018382	48.72675756	0.295019929	0.045308895	4.1954693	108.1008718	15.36610335	79.18274867	0.473189773
