0-Control_ 1-High Carb	ENSMUSG00000000326	ENSMUSG00000000340	ENSMUSG00000000402	ENSMUSG00000001023	ENSMUSG00000001674	ENSMUSG00000001833	ENSMUSG00000002129	ENSMUSG00000003051	ENSMUSG00000003344	ENSMUSG00000003809
0	155.478439	38.30750335	0.017154428	0	6.799656699	16.15162883	4.308578676	0.04428217	7.189304021	266.3692093
0	300.2664335	35.59011185	0	0	10.36166379	24.16541991	7.116768121	0.691269682	5.083677551	276.483877
0	246.7921782	27.36321936	0.032492921	0	4.727676829	8.342098861	4.053742851	0.335506857	8.057299462	273.8201691
0	233.4996955	37.81840747	0.049764135	0	3.516019069	9.43830293	3.829006298	0.192690532	7.500383784	290.9822654
0	202.2725966	70.13037294	0	0.114181441	6.146076506	11.94848155	3.530875414	0	6.017354415	308.9218152
1	332.0512016	31.06064152	0.015409402	0	7.362773254	18.078191	7.240915508	0.377887078	8.192953877	199.2595085
1	303.8146915	34.4964893	0.0244613	0	7.733324158	18.76194283	5.169130149	0.520938125	5.694099208	199.1015738
1	399.9600817	26.22460609	0.014226118	0	7.71733528	15.26244023	6.168861284	0.642653861	6.635821321	190.5619734
1	213.1612366	38.59126082	0	0	3.924128768	10.24579584	4.23174462	0.832021543	5.66435464	205.2502183
1	342.0005549	34.92941079	0.04012882	0	8.585837732	18.94861873	6.197325343	0.794173934	6.729476724	213.6450734
0	285.6514463	37.56795322	0.014625643	0	7.163430311	19.46941639	6.969083443	0.377544057	6.129507614	258.4929343
0	350.1706084	35.30826916	0.089238559	0	7.495813081	20.4543171	5.163730629	0.312630084	6.231313429	262.0285515
0	282.6494429	34.19838061	0.017369	0.108969318	4.867135338	11.75535018	5.021137845	0.44836063	7.574123829	267.3603199
0	228.7373605	31.72251707	0	0	5.928076092	18.25548724	4.841995189	0.491485068	5.537143477	269.6289514
0	293.0489944	38.22545315	0	0	6.154526566	18.07623393	5.112251723	0.438570259	5.541370011	278.9556627
1	312.8880724	31.01762359	0.02742725	0.086036293	6.78242613	18.54814077	5.373823342	1.486805699	4.938500258	182.4307276
1	482.5752789	36.08177648	0	0	7.238072505	20.05566241	4.317779837	0.875185855	4.638423199	248.7555255
1	325.6099056	40.54323775	0.025730424	0	8.607012988	22.50500253	4.949445809	0.464940781	6.069999219	206.0817545
1	290.5320844	29.89658335	0.034314491	0	4.437966944	11.37393285	5.157942224	0.553618037	7.190484734	266.8197256
1	443.1344681	31.7906205	0	0	3.310162588	10.96802496	3.621181112	0.53852188	6.897475803	252.8305246
1	396.3059252	28.71990201	0	0	7.009480391	20.5285883	5.407874731	0.307991408	6.848531013	238.9772213
1	379.8209447	28.97913638	0.039891226	0	4.848709676	11.3699917	5.228864127	1.853542505	8.430363435	193.4069509
1	300.3463076	30.03822855	0.018117093	0	4.838114389	13.61547121	5.287186442	0.491055381	5.666231675	241.7555624
1	522.8706222	24.98600118	0	0	6.508104072	13.7415299	5.382445315	0.646383919	5.618774217	219.851677
1	324.3517736	37.51161847	0.014360622	0	6.259755818	19.33124581	4.609222686	0.259491989	4.77368725	218.8663276
1	368.9170294	28.20820785	0.033157155	0	7.14714362	17.60928965	5.257322956	1.155483315	6.029474067	231.6310164
1	353.9326485	31.35696494	0.070209587	0	7.550148716	22.66468586	4.653559938	0.670580313	5.056723708	246.7218937
1	407.4551557	24.15740251	0	0.334875538	6.519839868	15.02383254	5.241301314	0.459288328	5.787245426	225.455304
1	461.7492002	26.31066427	0.018527433	0	6.212351804	12.85582982	6.333550387	0.621743522	6.191909876	231.3948697
1	369.8973443	27.45616387	0.051726857	0	6.085992348	16.88317245	5.344603934	0.36719896	6.344044344	245.1910324
0	334.699829	30.18661228	0.171431881	0	6.923976173	17.61839583	6.86933756	0.704027478	7.938007861	196.2758897
0	277.8521234	43.84202975	0	0	7.285506228	21.32831749	4.450328079	0.516116896	6.125568291	230.4343789
0	300.2212307	31.57098473	0.02988969	0	6.478623332	16.71953484	4.911726535	0.752278548	6.330055471	212.5905903
0	336.6537605	28.63834777	0.028897584	0	5.277328558	13.21855139	4.963101377	0.428925672	7.527276387	191.2369855
0	351.4231035	34.73079032	0	0	7.198479928	17.31724457	5.224239259	0.310342104	6.81822764	199.600479
1	463.9803985	30.86176884	0	0	6.954268298	16.9885458	6.402056332	0.950736373	6.566955143	166.964218
1	282.4053292	28.65769435	0.018127589	0	5.535578037	13.62335909	4.533076295	0.865694048	7.645745004	158.2251595
1	471.4239506	29.41894972	0.142867669	0	7.869996509	19.48770904	5.95000606	1.065411677	8.766327423	171.6753816
1	345.1592514	41.26222219	0.016512135	0	8.977219261	20.95832555	5.57202666	0.66067456	9.679319667	208.553431
1	381.9538631	24.1649811	0.043963491	0	6.545796502	16.4885713	4.896841893	0.794406646	7.673726171	179.5136532
1	201.3512155	25.27566428	0.034385479	0	7.823686417	15.4352114	5.508777455	0.998574019	9.356213964	177.4182839
1	274.0435839	31.03581798	0.014264948	0.089495172	7.943390164	21.02981093	4.014040386	0.754877896	6.602945543	186.4541267
1	479.7820295	25.97614115	0	0	6.540373697	15.87867766	6.321822664	0.566659395	8.01896076	168.9732291
1	380.0703354	21.06302735	0.041454994	0	5.179438551	12.22873759	5.316125467	0.85609014	8.223706278	174.184994
1	356.2562073	17.6714771	0	0	6.158838802	12.46120065	5.624343992	1.452595346	5.449381556	172.4552245
1	432.5432702	26.45020169	0	0	6.698485987	16.10994034	5.46528685	0.601638081	10.13565983	184.2370864
1	323.7692093	26.51705224	0	0	7.909673039	18.25744494	4.688222334	0.544154016	7.434253982	171.8684218
1	456.4142222	24.39049879	0	0	6.014255432	12.35431443	5.908122475	0.823823522	7.774911504	183.0371173
1	353.948142	35.23549205	0.026759982	0	5.60798209	7.498711149	2.926715318	1.053436396	9.660618862	205.7740133
1	358.1800643	18.48051088	0	0	5.534700879	13.81468331	4.850571414	0.653734179	6.245905106	156.9763359
0	265.9625147	33.11991141	0	0	5.187817946	10.9834073	4.105022751	0.482021765	9.177289792	272.5437696
0	257.8572231	37.3031935	0	0	7.472166844	17.64439623	3.458484863	0.102811066	7.604343845	267.0746364
0	204.2709621	46.52538778	0.080078254	0	4.852302431	11.77972929	3.784901927	0.330740389	7.441932007	260.9970168
0	262.519447	33.88630172	0	0	4.905835466	13.30038384	3.312122915	0.218492998	5.854146568	266.0696209
0	231.6311977	38.05203762	0	0	6.839599163	15.94810914	4.018702808	0.516491993	6.035593087	271.9236705
0	58.79173224	31.49573402	0	0	8.064074725	12.56790465	4.549259322	0.156251584	8.16745001	182.95257
0	185.8502864	34.58335945	0.050911672	0.21293915	4.369354808	9.239272506	4.057204929	0.459979056	8.340585832	218.4092391
0	248.8267024	27.88298986	0.032696056	0	4.757232645	9.214479054	3.782588061	0.105501354	9.656163045	231.0821414
0	205.2402052	34.69358131	0.030217376	0	4.667982357	7.451440249	4.832716505	0.448515283	8.087072495	222.3869457
0	229.8292973	42.10290648	0.030484528	0	6.425026007	14.35124436	2.973852433	0.3934614	7.450313826	218.8564578
1	371.1240826	22.40336962	0.018846273	0	3.904400208	12.3527981	4.329555794	0.364871039	7.409960867	219.8090114
