0-Control_ 1-High Carb	ENSMUSG00000000326	ENSMUSG00000000340
0	155.478439	38.30750335
0	300.2664335	35.59011185
0	246.7921782	27.36321936
0	233.4996955	37.81840747
0	202.2725966	70.13037294
1	332.0512016	31.06064152
1	303.8146915	34.4964893
1	399.9600817	26.22460609
1	213.1612366	38.59126082
1	342.0005549	34.92941079
0	285.6514463	37.56795322
0	350.1706084	35.30826916
0	282.6494429	34.19838061
0	228.7373605	31.72251707
0	293.0489944	38.22545315
1	312.8880724	31.01762359
1	482.5752789	36.08177648
1	325.6099056	40.54323775
1	290.5320844	29.89658335
1	443.1344681	31.7906205
1	396.3059252	28.71990201
1	379.8209447	28.97913638
1	300.3463076	30.03822855
1	522.8706222	24.98600118
1	324.3517736	37.51161847
1	368.9170294	28.20820785
1	353.9326485	31.35696494
1	407.4551557	24.15740251
1	461.7492002	26.31066427
1	369.8973443	27.45616387
0	334.699829	30.18661228
0	277.8521234	43.84202975
0	300.2212307	31.57098473
0	336.6537605	28.63834777
0	351.4231035	34.73079032
1	463.9803985	30.86176884
1	282.4053292	28.65769435
1	471.4239506	29.41894972
1	345.1592514	41.26222219
1	381.9538631	24.1649811
1	201.3512155	25.27566428
1	274.0435839	31.03581798
1	479.7820295	25.97614115
1	380.0703354	21.06302735
1	356.2562073	17.6714771
1	432.5432702	26.45020169
1	323.7692093	26.51705224
1	456.4142222	24.39049879
1	353.948142	35.23549205
1	358.1800643	18.48051088
0	265.9625147	33.11991141
0	257.8572231	37.3031935
0	204.2709621	46.52538778
0	262.519447	33.88630172
0	231.6311977	38.05203762
0	58.79173224	31.49573402
0	185.8502864	34.58335945
0	248.8267024	27.88298986
0	205.2402052	34.69358131
0	229.8292973	42.10290648
1	371.1240826	22.40336962
1	538.5010419	33.21511064
1	348.5954384	26.6674577
1	325.0854949	32.33760177
1	457.0843577	29.7511589
1	359.7627819	25.52141861
1	356.8208699	29.19084873
1	244.7949835	40.23312936
1	382.6185787	33.53895167
1	358.3226169	31.31722346
1	390.0026558	25.19634616
1	275.9050097	40.34253958
1	275.1345038	25.11394016
1	289.1037499	27.15341541
1	310.5817656	30.23858263
0	145.996827	27.81086732
0	295.6845943	42.08274907
0	347.1340889	26.36209332
0	339.124056	30.57899211
0	316.6561581	26.73698511
1	349.1375439	27.06986263
1	294.6304061	34.79984693
1	348.4875751	21.60556897
1	224.6027475	24.91568252
1	280.1299212	21.16965284
1	322.0419014	32.31486638
1	334.5851846	27.35419445
1	283.5535386	25.02420583
1	296.7421144	17.9176247
1	322.1923835	24.96834979
1	314.3937732	32.56793707
1	420.4989129	24.45097387
1	287.780424	21.50584127
0	267.4485467	34.85372328
0	284.5961562	31.48012205
0	210.3911806	32.03022962
0	240.9735949	41.71783779
0	231.6834167	43.19425303
1	261.6972578	28.2604794
1	418.6825713	32.33963909
1	220.5987296	29.05320384
1	262.7498958	32.893055
1	365.6710393	38.14063236
1	306.2785084	30.71959186
1	312.7343349	31.79203078
1	373.9458611	25.30391045
1	294.9600059	35.74136738
1	344.8476493	35.74170602
1	330.576319	26.322312
1	206.6276225	30.12495374
1	285.6227488	27.82317952
1	353.7728132	31.32791281
1	354.5023995	36.42945146
0	262.3050088	35.81093303
0	246.1335569	51.57063595
0	394.8572532	30.64059783
0	351.784208	36.57486757
0	341.7879921	48.79281531
1	470.1823905	35.7166594
1	438.8227683	36.23099392
1	430.2807128	36.91706877
1	280.24382	29.55273082
1	265.5275881	33.83570837
1	316.7103591	27.1261474
1	271.517348	41.24961649
1	377.3699128	41.80904721
1	319.1947827	27.08154331
1	331.776159	39.6412395
